,10 metre U wind component,10 metre V wind component,2 metre dewpoint temperature,2 metre temperature,Mean sea level pressure,Mean wave direction,Mean wave period,Sea surface temperature,Significant height of combined wind waves and swell,Surface pressure,Skin temperature,100 metre U wind component,100 metre V wind component,10 metre u-component of neutral wind,10 metre v-component of neutral wind,10 metre wind speed,Forecast logarithm of surface roughness for heat,Instantaneous surface sensible heat flux,Near IR albedo for diffuse radiation (climatological),Near IR albedo for direct radiation (climatological),UV visible albedo for diffuse radiation (climatological),UV visible albedo for direct radiation (climatological),Air density over the oceans,Coefficient of drag with waves,Free convective velocity over the oceans,Maximum individual wave height,Mean direction of total swell,Mean direction of wind waves,Mean period of total swell,Mean period of wind waves,Mean square slope of waves,Mean wave direction of first swell partition,Mean wave direction of second swell partition,Mean wave direction of third swell partition,Mean wave period based on first moment,Mean wave period based on first moment for swell,Mean wave period based on first moment for wind waves,Mean wave period based on second moment for swell,Mean wave period based on second moment for wind waves,Mean wave period of first swell partition,Mean wave period of second swell partition,Mean wave period of third swell partition,Mean zero-crossing wave period,Model bathymetry,Normalized energy flux into ocean,Normalized energy flux into waves,Normalized stress into ocean,10 metre wind direction,Peak wave period,Period corresponding to maximum individual wave height,Significant height of total swell,Significant height of wind waves,Significant wave height of first swell partition,Significant wave height of second swell partition,Significant wave height of third swell partition,Wave spectral directional width,Wave spectral directional width for swell,Wave spectral directional width for wind waves,Wave spectral kurtosis,Wave spectral peakedness,Wave Spectral Skewness,Sea ice area fraction,Instantaneous 10 metre wind gust,"Surface direct short-wave radiation, clear sky",Downward UV radiation at the surface,Surface latent heat flux,Surface net short-wave (solar) radiation,"Surface net short-wave (solar) radiation, clear sky",Surface net long-wave (thermal) radiation,"Surface net long-wave (thermal) radiation, clear sky",Surface sensible heat flux,Surface short-wave (solar) radiation downward clear-sky,Surface short-wave (solar) radiation downwards,Surface long-wave (thermal) radiation downward clear-sky,Surface long-wave (thermal) radiation downwards,TOA incident short-wave (solar) radiation,Top net short-wave (solar) radiation,"Top net short-wave (solar) radiation, clear sky",Top net long-wave (thermal) radiation,"Top net long-wave (thermal) radiation, clear sky",Total sky direct short-wave (solar) radiation at surface
1940-01-01,-0.8669579823811849,0.9906293153762816,276.3135681152344,279.8491719563802,101551.40397135416,327.6549886067708,9.420116106669107,285.073974609375,1.292843182881673,99422.48958333331,280.7953592936198,-0.7021633783976237,1.5191548069318137,-0.9248879750569662,0.8864596486091614,4.095784505208333,-7.813748995463054,-10.999420166015623,0.1138984784483909,0.1084220297634601,0.0487464653948942,0.0480306421717008,1.246275266011556,0.0008793291635811,0.5634867350260416,2.4237648646036782,326.9292805989583,66.36796569824219,9.651805559794107,2.917479515075684,0.003263130551204,231.4328816731771,172.77415974934897,189.0991007486979,7.600064277648926,8.022183418273926,2.339680353800456,6.840879122416179,1.3072509765625,9.997658411661783,7.598483403523763,6.096944491068522,6.294043858846028,147.33333333333334,-3.128692626953125,1.0574874877929688,1.00466783841451,131.26313273111978,11.509140332539875,8.036541938781738,1.2545582453409831,0.198317289352417,1.1212778091430664,0.4606712659200032,0.0617687255144119,0.4054225484530131,0.2858903805414836,0.6865212917327881,0.0037497282028198,5.203420639038086,0.0127090141177177,0.0,6.884583791097005,6795809.333333333,645989.3541666666,-4030449.0,5076216.0,7141625.0,-5640303.0,-8056414.0,-1062039.0,8666640.0,5853388.333333333,21643994.666666668,24791829.33333333,13105920.0,8146910.666666667,10235442.666666666,-18645614.666666668,-20922880.0,3239645.6666666665
1940-02-01,0.093337595462799,1.4513975977897644,279.2106068929036,282.7564239501953,101429.32503255208,303.6866048177083,10.923617362976074,284.9189453125,1.5645389556884766,99329.65625,282.7049967447917,0.5287947456041971,2.2683992187182107,0.0879376133282979,1.349883238474528,3.8019205729166665,-7.766268412272136,1.0928211212158203,0.1185576158265272,0.1120895408093929,0.0487845117847124,0.0479574936131636,1.2319405873616536,0.0008526752547671,0.3318379720052083,2.8960968653361,303.8974202473958,49.80849202473959,11.12666098276774,3.115424156188965,0.0029647064705689,286.8617350260417,122.4632059733073,164.5430704752604,8.904474894205729,9.336359659830729,2.4106343587239585,7.936228434244792,1.0931396484375,11.626276969909668,6.258063634236653,7.934112548828125,7.353220621744792,147.33333333333334,-3.211029052734375,-0.156627337137858,0.9992664853731792,169.86439005533853,13.304974555969238,9.387734731038412,1.534462292989095,0.1850622097651163,1.46167786916097,0.3038344780604045,0.0537234755853811,0.3599090178807576,0.2344775597254435,0.8112089236577352,0.0017071763674418,5.910783131917317,0.0092166016499201,0.0,6.458565394083659,10362759.0,981245.8125,-3015253.6666666665,8096955.666666667,11286075.666666666,-5587581.0,-7737512.333333333,-82215.54166666667,12693214.333333334,8908049.0,23002800.0,25646586.666666668,18571690.0,12329215.0,15502848.0,-18391687.33333333,-21342414.0,5279393.666666667
1940-03-01,-0.6422742207845052,0.6047477920850118,279.7698567708333,284.1117528279622,101591.5458170573,326.7855631510417,8.129954020182291,284.82958984375,1.1114168167114258,99499.14583333331,283.95422108968097,-0.560967763264974,1.2359783848126729,-0.6057415008544922,0.4802112380663554,3.896728515625,-7.808643658955892,-6.176626841227214,0.1260653374095758,0.1159059504667918,0.0494462586939334,0.048373494297266,1.2291065851847331,0.0008602142333984,0.3869222005208333,2.077795664469401,326.0975341796875,49.18365987141927,8.366933186848959,3.0122880935668945,0.0028447554601977,240.27327473958331,174.73556518554688,204.158447265625,6.603812217712402,7.002169291178386,2.3666721979777017,6.097145398457845,1.1788736979166667,8.502822875976562,7.321315447489421,9.037812868754068,5.591895421346028,147.33333333333334,-2.8829854329427085,0.7766234079996744,0.9993342161178588,112.38150533040364,10.252061208089192,6.994839350382487,1.0693511962890625,0.1793588002522786,1.0101073582967122,0.244343896706899,0.0458226340512434,0.4135555227597554,0.2776081959406535,0.7534858187039694,0.0034103194872538,4.960426012674968,0.012760820488135,0.0,6.687870979309082,15876053.333333334,1647155.5833333333,-4009450.0,13725598.666666666,16841911.666666668,-6377881.333333333,-8094235.0,-663838.6666666666,18862048.0,15055457.666666666,23244162.666666668,25391481.33333333,26229795.33333333,19340286.666666668,22302258.0,-20086408.0,-21957408.0,10657921.666666666
1940-04-01,0.6533879240353903,-0.6876764297485352,280.71840413411456,284.554438273112,101849.0771077474,317.3264973958333,8.310516675313314,285.706787109375,1.1712125142415364,99746.69791666669,284.93772888183594,1.0291691621144612,-0.7784010569254557,0.6531807581583658,-0.7782106399536133,3.6481119791666665,-7.7345841725667315,-15.709528605143229,0.1314609857896963,0.1194490864872932,0.0489321475227673,0.0475540856520334,1.2301422754923503,0.0008353298374762,0.4529927571614583,2.1848910649617515,317.82470703125,17.055496215820312,8.50143559773763,2.9404996236165366,0.0026514122728258,285.3314615885417,168.34872436523438,193.05997212727863,6.8684695561726885,7.186829884847005,2.2952295939127603,6.290543556213379,1.08740234375,8.565414110819498,7.590227127075195,11.498343467712402,5.873876889546712,147.33333333333334,-3.026824951171875,0.4357144037882487,1.0049375693003335,325.3804524739583,10.284769694010416,7.22085444132487,1.1445808410644531,0.1441751917203267,1.08544127146403,0.2307326396306356,0.0343655881782372,0.4031847318013509,0.2810568610827128,0.7641159296035767,0.0039211509283632,4.725350697835286,0.01337730884552,0.0,6.218985557556152,20787633.33333333,1936054.0,-4386586.666666667,15338670.333333334,21994701.33333333,-5184283.0,-8025773.666666667,-1452213.6666666667,24603546.0,16797857.0,23606242.666666668,27009756.0,33812889.166666664,22901416.0,29017737.33333333,-19877661.33333333,-21991948.0,10334787.666666666
1940-05-01,0.0385629137357076,-1.0305201212565105,284.1112823486328,287.2294108072917,101571.98746744792,324.0904947916667,7.236125628153483,287.30712890625,0.9467660188674928,99498.15625,287.55180104573566,-0.0840237538019816,-1.165854771931966,0.08934352795283,-1.0651737848917644,4.071207682291667,-7.784094174702962,-20.22821044921875,0.1389376434187094,0.1252700934807459,0.0483637352784474,0.0470049815873305,1.2158463795979817,0.0008774995803833,0.4349568684895833,1.7898305257161458,323.30029296875,27.948699951171875,7.565227190653483,3.113651593526205,0.0031226917635649,256.3445332845052,140.91523234049478,205.60635884602863,5.750009536743164,6.242197036743164,2.4519173304239907,5.407098770141602,1.2506510416666667,8.451417287190756,7.382129033406575,9.791257540384928,4.840569496154785,147.33333333333334,-2.848470052083333,1.3252239227294922,0.9947973688443502,22.854766845703125,9.293727238972982,6.136744499206543,0.8845928510030111,0.2176768183708191,0.7986781597137451,0.3155716856320699,0.0363512337207794,0.4312366843223572,0.258537232875824,0.7605929573376974,0.0039700071016947,5.045350392659505,0.0133129755655924,0.0,6.047168413798015,23714509.33333333,2529355.6666666665,-4935743.333333333,20513754.666666668,25329821.33333333,-6164154.333333333,-7692681.333333333,-1871287.6666666667,28345138.666666668,22445653.33333333,25254949.33333333,27237318.0,39288268.875,29336026.666666668,33811098.666666664,-20963505.33333333,-22693238.666666668,16168258.333333334
1940-06-01,0.8015429178873698,-1.2426268259684246,286.6732864379883,289.8842468261719,101820.81884765624,326.2666422526042,6.935091018676758,289.957275390625,0.8870929876963297,99754.8125,290.3688456217448,0.94331161181132,-1.486872673034668,0.8168256084124247,-1.283588409423828,3.947898228963216,-7.778401056925456,-21.509780883789062,0.1400216519832611,0.12615817040205,0.0479650162160396,0.0467345155775547,1.20620854695638,0.0008645926912625,0.4734598795572917,1.6732012430826824,325.69549560546875,9.093631744384766,7.205681165059407,2.974574406941732,0.0026909514175107,281.989013671875,197.69116719563803,215.65828450520837,5.639776547749837,6.08378791809082,2.350555102030436,5.353413263956706,1.2135009765625,7.42881711324056,7.436578432718913,11.235650380452476,4.806212743123372,147.33333333333334,-2.394109090169271,1.431117057800293,0.991982618967692,329.131103515625,8.825973192850748,5.99658743540446,0.8475442330042521,0.1745980381965637,0.7823972304662069,0.231342613697052,0.0240065244336922,0.399433175722758,0.2650658289591471,0.7297172745068868,0.003927727540334,4.732593854268392,0.0138048281272252,0.0,5.79189936319987,24121846.666666668,2548450.6666666665,-5433065.333333333,20543914.666666668,26216112.0,-5754958.0,-7496275.333333333,-1975180.3333333333,29397930.666666668,22493960.0,26670866.666666668,28959392.0,41595084.8125,30437632.0,35705037.333333336,-21198562.666666668,-23166259.33333333,15262110.333333334
1940-07-01,0.4232544700304667,-1.1210142771402996,287.4412841796875,291.22145589192706,101986.9686686198,321.5927734375,6.561629295349121,292.341796875,0.9586784839630128,99920.51041666669,292.0490468343099,0.4790253043174743,-1.3342787424723308,0.4560394150515397,-1.186452865600586,3.8102213541666665,-7.750322341918945,-23.944712320963543,0.134463128944238,0.1219539393981297,0.0481627943615118,0.0470305879910787,1.2024415334065754,0.000849635573104,0.5909423828125,1.800648053487142,321.5789794921875,13.316644668579102,6.762248992919922,3.0422887802124023,0.0027818116359412,286.9145151774089,147.91016642252603,239.92883809407556,5.627913157145183,5.965560595194499,2.376392046610514,5.387146949768066,1.1463216145833333,7.086254755655925,6.48629887898763,16.625022888183594,4.951070149739583,147.33333333333334,-3.2232157389322915,0.9439121882120768,1.0055376291275024,351.49365234375,7.835978507995605,5.904856999715169,0.915604054927826,0.174188752969106,0.8938851753870646,0.1126659313837687,0.0096308787663777,0.3897749582926432,0.2799494663874308,0.7671081026395162,0.0054949522018432,4.779880205790202,0.0168336989978949,0.0,5.780542691548665,23485422.666666668,2528131.6666666665,-6733858.333333333,20263754.666666668,25459789.33333333,-5661213.666666667,-7376769.333333333,-2270100.333333333,28462225.33333333,22132218.666666668,27594146.666666668,29891376.33333333,40302950.3125,29869941.33333333,34686157.333333336,-22509191.33333333,-23579800.0,15431126.0
1940-08-01,-1.1340065002441406,-1.410846710205078,288.1293411254883,292.3387959798177,102204.1104329427,354.1134440104167,5.700191497802734,293.12255859375,0.7733748555183411,100138.85416666669,293.1894276936849,-1.541323979695638,-1.6183656056722004,-1.1457586288452148,-1.4891382853190105,4.034098307291667,-7.795504252115886,-31.53307596842448,0.129974660774072,0.1183960797886053,0.0485446713864803,0.0473676485319932,1.2008647918701172,0.0008714449747155,0.621673583984375,1.4633073806762695,351.0736897786458,37.35864766438802,5.963456471761067,2.850500742594401,0.0027960559818893,192.25789388020837,249.9872792561849,219.1319274902344,4.741025288899739,5.142149289449056,2.2932421366373696,4.640785853068034,1.29931640625,6.227950096130371,8.520243962605795,12.237476348876951,4.151243527730306,147.33333333333334,-3.13427734375,1.5627428690592449,1.0004915396372478,37.29928588867188,6.933610916137695,5.0407670338948565,0.7277896205584208,0.176878015200297,0.6640538771947225,0.2222268978754679,0.0186075170834859,0.4457518061002095,0.3243814508120219,0.6688044269879659,0.0070737600326538,4.386709531148274,0.019836351275444,0.0,5.612861315409343,21312511.33333333,2564277.5,-5810773.333333333,20897360.0,22816870.666666668,-6990138.0,-7717289.666666667,-2895807.0,25441518.666666668,22822085.33333333,27726573.33333333,29078430.666666668,35680358.5,29004370.666666668,30729984.0,-23513934.666666668,-24042878.666666668,17372800.0
1940-09-01,-0.2436923782030741,-1.205445925394694,286.70020802815753,290.6252848307292,101949.44596354169,331.6388346354167,7.400192896525065,292.17236328125,1.0497026443481443,99878.375,291.33616129557294,-0.2757530808448791,-1.4201701482137044,-0.2621218959490458,-1.2820698420206706,3.545003255208333,-7.682706197102864,-19.82904561360677,0.1252581837276617,0.1148074145118395,0.0476645144323507,0.0466393505533536,1.2044722239176433,0.0008245202867935,0.5576883951822916,1.9648338953653968,331.09645589192706,27.711720784505207,7.5324357350667315,3.1030505498250327,0.0025871725132068,258.86183675130206,156.3645782470703,237.01040649414065,6.234693845113118,6.485833168029785,2.375676155090332,5.773983637491862,0.9914957682291666,7.839548746744792,7.689857482910156,15.5916379292806,5.423112869262695,147.33333333333334,-2.805089314778646,0.6417811711629232,1.0076033075650532,24.575770060221355,8.992656389872232,6.547365824381511,1.0241146286328633,0.1467873454093933,0.98824010292689,0.1523047486941019,0.0130859774847825,0.3853661020596822,0.2646833856900533,0.8430583477020264,0.0046188235282897,5.224697430928548,0.0143344290554523,0.0,5.276059468587239,16272383.666666666,1659405.8333333333,-4852769.666666667,13287326.666666666,17859438.666666668,-5471237.0,-7396061.833333333,-1945987.6666666667,19883990.666666668,14504004.666666666,27112656.0,29742409.33333333,28789529.83333333,20118109.33333333,24561856.0,-21147209.33333333,-23036189.33333333,9778796.0
1940-10-01,-0.1567234595616658,0.0869941711425781,283.2032725016276,286.961675008138,101186.27294921876,322.619384765625,8.589022954305014,290.197265625,1.21926752726237,99112.90625,287.7105712890625,-0.1402512788772583,0.2853773236274719,-0.1521720290184021,0.0048152009646097,3.41015625,-7.667126973470052,-9.522653579711914,0.1221558339893817,0.1139440673093001,0.0473101747532685,0.0463509125014146,1.2104873657226562,0.0008130886902411,0.5522867838541666,2.2679198582967124,322.15582275390625,37.66205342610677,8.7177095413208,3.031821886698405,0.0024830850306898,266.3756510416667,135.77977498372397,220.2377014160156,7.138722101847331,7.398976008097331,2.3109985987345376,6.460782686869304,0.9237060546875,9.05770492553711,6.405824343363444,9.16499106089274,6.10185432434082,147.33333333333334,-3.249079386393229,0.0678167343139648,1.0079463720321655,90.51326592763265,10.57549794514974,7.491391817728679,1.2027219136555989,0.1210774381955464,1.111294110616048,0.3184135754903157,0.0629929962257544,0.4005257288614909,0.2449657718340555,0.8445919950803121,0.0030689634537945,5.706655820210774,0.0116377162436644,0.0,5.419670422871907,11717803.0,1157431.5,-4654841.666666667,9514597.666666666,12869282.666666666,-5828983.0,-7803941.333333333,-974774.6666666666,14388044.666666666,10439466.666666666,25075026.666666668,27665634.666666668,21053303.666666668,14397834.333333334,17700488.666666668,-20076598.0,-22264811.33333333,6797330.0
